DATE,COUNTRY,FATALITIES
12/4/16,United States,0
10/13/16,United States,0
10/4/16,United States,0
9/16/16,United States,2
8/13/16,United States,2
7/26/16,France,3
7/17/16,United States,4
7/14/16,France,87
7/9/16,United States,0
7/7/16,United States,0
7/7/16,United States,1
7/7/16,United States,6
6/18/16,United States,0
6/12/16,United States,50
2/3/16,France,0
2/3/16,France,0
1/7/16,United States,0
1/2/16,United States,0
12/3/15,France,0
12/2/15,United States,16
11/27/15,United States,3
11/23/15,United States,0
11/15/15,United States,0
11/13/15,France,93
11/13/15,France,19
11/13/15,France,5
11/13/15,France,15
10/2/15,Australia,2
9/13/15,United States,0
8/21/15,France,0
7/23/15,United States,3
7/16/15,United States,6
7/16/15,United States,0
6/17/15,United States,9
5/3/15,United States,2
4/19/15,France,1
2/10/15,United States,3
1/10/15,France,0
1/9/15,France,0
1/9/15,France,0
1/9/15,France,5
1/9/15,France,2
1/8/15,France,0
1/8/15,France,0
1/8/15,France,1
1/7/15,France,0
1/7/15,France,0
1/7/15,France,12
12/20/14,United States,2
12/18/14,United States,1
12/15/14,Australia,3
11/28/14,United States,0
11/28/14,United States,1
11/28/14,United States,0
11/23/14,United States,0
11/4/14,United States,0
11/3/14,Australia,0
9/12/14,United States,1
8/11/14,United States,0
6/25/14,United States,1
6/12/14,France,0
6/8/14,United States,5
6/6/14,United States,1
6/1/14,United States,2
4/27/14,United States,1
4/13/14,United States,1
4/13/14,United States,2
3/25/14,United States,0
3/18/14,United States,0
11/18/13,France,0
11/1/13,United States,1
4/18/13,United States,1
4/16/13,United States,0
2/7/13,United States,1
9/30/12,United States,0
8/15/12,United States,0
8/5/12,United States,7
6/19/12,France,0
3/19/12,France,4
3/15/12,France,3
3/11/12,France,1
11/11/11,United States,0
4/9/11,France,0
2010-11-00,United States,0
10/25/10,United States,0
10/19/10,United States,0
2010-10-00,United States,0
2010-10-00,United States,0
3/4/10,United States,1
2/4/10,Australia,0
11/5/09,United States,13
6/10/09,United States,1
6/1/09,United States,1
5/31/09,United States,1
5/30/09,United States,2
4/6/09,France,0
3/20/09,France,0
7/27/08,United States,2
12/1/07,France,2
11/14/07,France,0
8/28/07,France,0
7/28/06,United States,1
4/22/06,France,0
3/4/06,France,0
2/9/06,France,0
3/30/05,United States,0
3/8/05,France,0
10/3/02,United States,0
7/4/02,United States,3
11/6/01,France,0
8/18/01,France,0
12/31/00,United States,0
10/17/00,Australia,0
8/7/00,France,2
8/10/99,United States,0
7/4/99,United States,2
7/3/99,United States,0
7/3/99,United States,0
7/2/99,United States,0
7/2/99,United States,1
7/2/99,United States,0
7/1/99,United States,2
4/20/99,United States,15
11/1/98,Australia,0
10/23/98,United States,1
7/24/98,United States,2
2/6/98,France,1
12/9/97,France,0
10/28/97,United States,0
4/27/97,United States,0
4/26/97,United States,0
2/23/97,United States,1
2/1/97,United States,0
1/9/97,France,0
12/20/96,France,0
12/18/96,France,0
12/18/96,France,0
12/18/96,France,0
12/17/96,France,0
12/15/96,France,0
12/7/96,France,1
1996-12-00,France,0
11/12/96,France,0
1996-10-00,France,2
1996-10-00,France,0
9/3/96,France,0
8/15/96,Australia,2
