GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4,
2.01612E+11,12/4/16,United States,Washington,Unknown,0,,,,,0,0,Business,,,North America,Armed Assault,,,Firearms,Firearms,,,
2.0161E+11,10/13/16,United States,Indianapolis,Anti-White extremists,0,,,,,0,0,Police,,,North America,Armed Assault,,,Firearms,,,,
2.0161E+11,10/4/16,United States,Indianapolis,Anti-White extremists,0,,,,,0,0,Police,,,North America,Armed Assault,,,Firearms,,,,
2.01609E+11,9/16/16,United States,Philadelphia,Anti-Police extremists,0,,,,,2,5,Police,Police,Private Citizens & Property,North America,Armed Assault,,,Firearms,,,,
2.01608E+11,8/13/16,United States,New York City,Unknown,0,,,,,2,0,Religious Figures/Institutions,Private Citizens & Property,,North America,Armed Assault,,,Firearms,,,,
2.01607E+11,7/26/16,France,Saint-Etienne-du-Rouvray,Jihadi-inspired extremists,0,,,,,3,1,Religious Figures/Institutions,,,Western Europe,Hostage Taking (Barricade Incident),,,Firearms,Melee,Fake Weapons,,
2.01607E+11,7/17/16,United States,Baton Rouge,Anti-Police extremists,0,,,,,4,3,Police,,,North America,Armed Assault,,,Firearms,Firearms,,,
2.01607E+11,7/14/16,France,Nice,Jihadi-inspired extremists,0,,,,,87,433,Private Citizens & Property,Private Citizens & Property,,Western Europe,Armed Assault,,,Firearms,Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs),Fake Weapons
2.01607E+11,7/9/16,United States,San Antonio,Unknown,0,,,,,0,0,Police,,,North America,Armed Assault,,,Firearms,,,,
2.01607E+11,7/7/16,United States,College Station,Anti-Muslim extremists,1,,,,,0,0,Religious Figures/Institutions,,,North America,Armed Assault,,,Firearms,,,,
2.01607E+11,7/7/16,United States,Bristol,Anti-Police extremists,0,,,,,1,4,Police,Private Citizens & Property,,North America,Armed Assault,,,Firearms,Firearms,,,
2.01607E+11,7/7/16,United States,Dallas,Anti-White extremists,0,,,,,6,9,Police,,,North America,Armed Assault,,,Firearms,Firearms,,,
2.01606E+11,6/18/16,United States,Las Vegas,Anti-Trump extremists,0,,,,,0,0,Private Citizens & Property,,,North America,Assassination,,,Firearms,,,,
2.01606E+11,6/12/16,United States,Orlando,Jihadi-inspired extremists,0,,,,,50,53,Business,Private Citizens & Property,,North America,Hostage Taking (Barricade Incident),Armed Assault,,Firearms,Firearms,,,
2.01602E+11,2/3/16,France,Propriano,Unknown,0,,,,,0,0,Business,,,Western Europe,Facility/Infrastructure Attack,,,Firearms,,,,
2.01602E+11,2/3/16,France,Propriano,Unknown,0,,,,,0,0,Business,,,Western Europe,Facility/Infrastructure Attack,,,Firearms,,,,
2.01601E+11,1/7/16,United States,Philadelphia,Jihadi-inspired extremists,0,,,,,0,2,Police,,,North America,Armed Assault,,,Firearms,,,,
2.01601E+11,1/2/16,United States,Princeton,Citizens for Constitutional Freedom,0,,,,,0,0,Government (General),,,North America,Facility/Infrastructure Attack,,,Firearms,Firearms,Firearms,,
2.01512E+11,12/3/15,France,Ghisonaccia,Unknown,0,,,,,0,0,Business,,,Western Europe,Armed Assault,,,Firearms,,,,
2.01512E+11,12/2/15,United States,San Bernardino,Jihadi-inspired extremists,0,,,,,16,17,Government (General),,,North America,Bombing/Explosion,Armed Assault,,Explosives/Bombs/Dynamite,Firearms,,,
2.01511E+11,11/27/15,United States,Colorado Springs,Anti-Abortion extremists,0,,,,,3,9,Abortion Related,,,North America,Hostage Taking (Barricade Incident),Armed Assault,,Firearms,,,,
2.01511E+11,11/23/15,United States,Minneapolis,Sovereign Citizen,0,White extremists,0,,,0,5,Private Citizens & Property,,,North America,Armed Assault,,,Firearms,,,,
2.01511E+11,11/15/15,United States,Meriden,Anti-Muslim extremists,0,,,,,0,0,Religious Figures/Institutions,,,North America,Armed Assault,,,Firearms,Firearms,,,
2.01511E+11,11/13/15,France,Paris,Islamic State of Iraq and the Levant (ISIL),0,,,,,93,217,Business,Private Citizens & Property,,Western Europe,Hostage Taking (Barricade Incident),Bombing/Explosion,,Explosives/Bombs/Dynamite,Explosives/Bombs/Dynamite,Firearms,,
2.01511E+11,11/13/15,France,Paris,Islamic State of Iraq and the Levant (ISIL),0,,,,,19,26,Business,Private Citizens & Property,,Western Europe,Armed Assault,,,Firearms,,,,
2.01511E+11,11/13/15,France,Paris,Islamic State of Iraq and the Levant (ISIL),0,,,,,5,24,Business,,,Western Europe,Armed Assault,,,Firearms,,,,
2.01511E+11,11/13/15,France,Paris,Islamic State of Iraq and the Levant (ISIL),0,,,,,15,26,Business,Private Citizens & Property,,Western Europe,Armed Assault,,,Firearms,,,,
2.0151E+11,10/2/15,Australia,Parramatta,Jihadi-inspired extremists,0,,,,,2,0,Police,,,Australasia & Oceania,Armed Assault,,,Firearms,,,,
2.01509E+11,9/13/15,United States,Bullard,Muslim extremists,0,,,,,0,0,Religious Figures/Institutions,,,North America,Armed Assault,,,Firearms,,,,
2.01508E+11,8/21/15,France,Arras,Islamic State of Iraq and the Levant (ISIL),0,,,,,0,3,Transportation,,,Western Europe,Armed Assault,,,Firearms,Melee,,,
2.01507E+11,7/23/15,United States,Lafayette,Anti-Government extremists,0,,,,,3,9,Business,,,North America,Armed Assault,,,Firearms,,,,
2.01507E+11,7/16/15,United States,Chattanooga,Muslim extremists,0,,,,,6,2,Military,,,North America,Armed Assault,,,Firearms,Firearms,Firearms,,
2.01507E+11,7/16/15,United States,Chattanooga,Muslim extremists,0,,,,,0,0,Military,,,North America,Armed Assault,,,Firearms,Firearms,Firearms,,
2.01506E+11,6/17/15,United States,Charleston,White extremists,0,,,,,9,0,Religious Figures/Institutions,,,North America,Armed Assault,,,Firearms,,,,
2.01505E+11,5/3/15,United States,Garland,Jihadi-inspired extremists,0,,,,,2,1,Private Citizens & Property,,,North America,Armed Assault,,,Firearms,,,,
2.01504E+11,4/19/15,France,Paris,Jihadi-inspired extremists,0,,,,,1,0,Private Citizens & Property,Religious Figures/Institutions,,Western Europe,Armed Assault,,,Firearms,,,,
2.01502E+11,2/10/15,United States,Chapel Hill,Anti-Muslim extremists,0,,,,,3,0,Private Citizens & Property,,,North America,Armed Assault,,,Firearms,,,,
2.01501E+11,1/10/15,France,Ghisonaccia,Unknown,0,,,,,0,0,Business,,,Western Europe,Armed Assault,,,Firearms,,,,
2.01501E+11,1/9/15,France,Soissons,Unknown,0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Armed Assault,,,Firearms,,,,
2.01501E+11,1/9/15,France,Vendome,Unknown,0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Armed Assault,,,Firearms,,,,
2.01501E+11,1/9/15,France,Paris,Jihadi-inspired extremists,0,,,,,5,3,Business,,,Western Europe,Hostage Taking (Barricade Incident),,,Firearms,,,,
2.01501E+11,1/9/15,France,Dammartin en Goele,Muslim extremists,0,,,,,2,2,Business,,,Western Europe,Hostage Taking (Barricade Incident),Armed Assault,,Firearms,,,,
2.01501E+11,1/8/15,France,Saint-Juery,Unknown,0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Armed Assault,,,Firearms,,,,
2.01501E+11,1/8/15,France,Le Mans,Unknown,0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Armed Assault,,,Explosives/Bombs/Dynamite,Firearms,,,
2.01501E+11,1/8/15,France,Paris,Jihadi-inspired extremists,0,,,,,1,1,Police,Government (General),,Western Europe,Armed Assault,,,Firearms,,,,
2.01501E+11,1/7/15,France,Port-la-Nouvelle,Unknown,0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Armed Assault,,,Firearms,,,,
2.01501E+11,1/7/15,France,Paris,Jihadi-inspired extremists,0,,,,,0,1,Private Citizens & Property,,,Western Europe,Armed Assault,,,Firearms,,,,
2.01501E+11,1/7/15,France,Paris,Al-Qaida in the Arabian Peninsula (AQAP),0,,,,,12,12,Journalists & Media,Police,Private Citizens & Property,Western Europe,Hostage Taking (Barricade Incident),Armed Assault,,Explosives/Bombs/Dynamite,Firearms,Firearms,,
2.01412E+11,12/20/14,United States,New York City,Anti-Police extremists,0,,,,,2,0,Police,,,North America,Armed Assault,,,Firearms,,,,
2.01412E+11,12/18/14,United States,Morganton,Jihadi-inspired extremists,0,,,,,1,0,Private Citizens & Property,,,North America,Armed Assault,,,Firearms,,,,
2.01412E+11,12/15/14,Australia,Sydney,Jihadi-inspired extremists,0,,,,,3,4,Business,,,Australasia & Oceania,Hostage Taking (Barricade Incident),,,Firearms,,,,
2.01411E+11,11/28/14,United States,Austin,Anti-Government extremists,0,,,,,0,0,Government (Diplomatic),,,North America,Armed Assault,,,Firearms,,,,
2.01411E+11,11/28/14,United States,Austin,Anti-Government extremists,0,,,,,1,0,Police,,,North America,Armed Assault,,,Firearms,,,,
2.01411E+11,11/28/14,United States,Austin,Anti-Government extremists,0,,,,,0,0,Government (General),,,North America,Armed Assault,,,Firearms,,,,
2.01411E+11,11/23/14,United States,Pendleton,United Aryan Empire,0,,,,,0,0,Private Citizens & Property,,,North America,Bombing/Explosion,Armed Assault,,Explosives/Bombs/Dynamite,Firearms,,,
