GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
201612160023,2016-12-16,"France","Chateau-Thierry","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201611050021,2016-11-05,"France","Nantes","Unknown",0,,,,,0,0,Government (Diplomatic),,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201610250048,2016-10-25,"France","Calais","No Borders Group",0,,,,,0,Unknown,Other,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201609040042,2016-09-04,"France","Paris","Jihadi-inspired extremists",0,,,,,0,0,Unknown,,,Western Europe,Armed Assault,,,Incendiary,,,
201607270034,2016-07-27,"France","Muret","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201607260001,2016-07-26,"France","Saint-Etienne-du-Rouvray","Jihadi-inspired extremists",0,,,,,3,1,Religious Figures/Institutions,,,Western Europe,Hostage Taking (Barricade Incident),,,Firearms,Melee,Fake Weapons,
201607190060,2016-07-19,"France","Maureilhan","Comite d'Action Viticole",0,,,,,0,0,Business,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,Melee,Melee,
201607140001,2016-07-14,"France","Nice","Jihadi-inspired extremists",0,,,,,87,433,Private Citizens & Property,Private Citizens & Property,,Western Europe,Armed Assault,,,Firearms,Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs),Fake Weapons,
201607040047,2016-07-04,"France","Ouveillan","Comite d'Action Viticole",0,,,,,0,0,Business,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201606210047,2016-06-21,"France","Paris","Unknown",0,,,,,0,0,Government (Diplomatic),,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201605010013,2016-04-30,"France","Ajaccio","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201602030088,2016-02-03,"France","Propriano","Unknown",0,,,,,0,0,Business,,,Western Europe,Facility/Infrastructure Attack,,,Firearms,,,
201602030060,2016-02-03,"France","Propriano","Unknown",0,,,,,0,0,Business,,,Western Europe,Facility/Infrastructure Attack,,,Firearms,,,
201601100040,2016-01-10,"France","Veneux-les-Sablons","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201601100039,2016-01-10,"France","Fontainebleau","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201512030059,2015-12-03,"France","Ghisonaccia","Unknown",0,,,,,0,0,Business,,,Western Europe,Armed Assault,,,Firearms,,,
201511260056,2015-11-26,"France","Elne","White extremists",0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,Incendiary,,
201511130008,2015-11-13,"France","Paris","Islamic State of Iraq and the Levant (ISIL)",0,,,,,93,217,Business,Private Citizens & Property,,Western Europe,Hostage Taking (Barricade Incident),Bombing/Explosion,,Explosives/Bombs/Dynamite,Explosives/Bombs/Dynamite,Firearms,
201511130006,2015-11-13,"France","Paris","Islamic State of Iraq and the Levant (ISIL)",0,,,,,19,26,Business,Private Citizens & Property,,Western Europe,Armed Assault,,,Firearms,,,
201511130005,2015-11-13,"France","Paris","Islamic State of Iraq and the Levant (ISIL)",0,,,,,5,24,Business,,,Western Europe,Armed Assault,,,Firearms,,,
201511130003,2015-11-13,"France","Paris","Islamic State of Iraq and the Levant (ISIL)",0,,,,,15,26,Business,Private Citizens & Property,,Western Europe,Armed Assault,,,Firearms,,,
201508250065,2015-08-23,"France","Auch","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201508210035,2015-08-21,"France","Arras","Islamic State of Iraq and the Levant (ISIL)",0,,,,,0,3,Transportation,,,Western Europe,Armed Assault,,,Firearms,Melee,,
201505280097,2015-05-28,"France","Ceret","Animal Liberation Front (ALF)",0,,,,,0,0,Government (General),,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201504190055,2015-04-19,"France","Paris","Jihadi-inspired extremists",0,,,,,1,0,Private Citizens & Property,Religious Figures/Institutions,,Western Europe,Armed Assault,,,Firearms,,,
201503250070,2015-03-25,"France","Henin-Beaumont","Unknown",0,,,,,0,0,Government (General),,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201501110112,2015-01-11,"France","Poitiers","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201501100119,2015-01-10,"France","Ghisonaccia","Unknown",0,,,,,0,0,Business,,,Western Europe,Armed Assault,,,Firearms,,,
201501090098,2015-01-09,"France","Soissons","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Armed Assault,,,Firearms,,,
201501090097,2015-01-09,"France","Vendome","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Armed Assault,,,Firearms,,,
201501090002,2015-01-09,"France","Paris","Jihadi-inspired extremists",0,,,,,5,3,Business,,,Western Europe,Hostage Taking (Barricade Incident),,,Firearms,,,
201501090001,2015-01-09,"France","Dammartin en Goele","Muslim extremists",0,,,,,2,2,Business,,,Western Europe,Hostage Taking (Barricade Incident),Armed Assault,,Firearms,,,
201501080091,2015-01-08,"France","Saint-Juery","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Armed Assault,,,Firearms,,,
201501080090,2015-01-08,"France","Aix-les-Bains","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201501080002,2015-01-08,"France","Le Mans","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Armed Assault,,,Explosives/Bombs/Dynamite,Firearms,,
201501080001,2015-01-08,"France","Paris","Jihadi-inspired extremists",0,,,,,1,1,Police,Government (General),,Western Europe,Armed Assault,,,Firearms,,,
201501070005,2015-01-07,"France","Port-la-Nouvelle","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Armed Assault,,,Firearms,,,
201501070002,2015-01-07,"France","Paris","Jihadi-inspired extremists",0,,,,,0,1,Private Citizens & Property,,,Western Europe,Armed Assault,,,Firearms,,,
201501070001,2015-01-07,"France","Paris","Al-Qaida in the Arabian Peninsula (AQAP)",0,,,,,12,12,Journalists & Media,Police,Private Citizens & Property,Western Europe,Hostage Taking (Barricade Incident),Armed Assault,,Explosives/Bombs/Dynamite,Firearms,Firearms,
201411110070,2014-11-11,"France","Gourdon","Animal Liberation Front (ALF)",0,,,,,0,0,Business,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201406130105,2014-06-13,"France","Uzel","Breton Liberation Front (FLB)",0,,,,,0,0,Police,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201406130104,2014-06-13,"France","Huelgoat","Breton Liberation Front (FLB)",0,,,,,0,0,Police,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201406120071,2014-06-12,"France","Bastia","Unknown",0,,,,,0,0,Police,,,Western Europe,Facility/Infrastructure Attack,,,Firearms,,,
201403160037,2014-03-16,"France","Bessieres","Comite d'Action Viticole",0,,,,,0,0,Telecommunication,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201403160036,2014-03-16,"France","Bessieres","Comite d'Action Viticole",0,,,,,0,0,Telecommunication,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201401180080,2014-01-18,"France","Lezay","The Justice Department",0,,,,,0,0,Private Citizens & Property,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201311180036,2013-11-18,"France","Paris","Unknown",0,,,,,0,1,Journalists & Media,,,Western Europe,Armed Assault,,,Firearms,,,
201206190034,2012-06-19,"France","Toulouse","Jihadi-inspired extremists",0,,,,,0,1,Business,,,Western Europe,Hostage Taking (Barricade Incident),,,Firearms,,,
201203190009,2012-03-19,"France","Toulouse","Muslim extremists",0,,,,,4,0,Educational Institution,,,Western Europe,Armed Assault,,,Firearms,,,
201203150003,2012-03-15,"France","Montauban","Muslim extremists",0,,,,,3,0,Military,,,Western Europe,Armed Assault,,,Firearms,,,
201203110021,2012-03-11,"France","Toulouse","Muslim extremists",0,,,,,1,0,Military,,,Western Europe,Armed Assault,,,Firearms,,,
201104090001,2011-04-09,"France","Creuse district","Basque Fatherland and Freedom (ETA)",1,,,,,0,1,Police,,,Western Europe,Armed Assault,,,Firearms,,,
201012120007,2010-12-12,"France","Chasse-sur-Rhone","Animal Rights Militia",1,,,,,0,0,Business,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
200904060001,2009-04-06,"France","Bonifacio","Unknown",0,,,,,0,0,Police,,,Western Europe,Armed Assault,,,Firearms,,,
200903200007,2009-03-20,"France","Lyon","Unknown",0,,,,,0,10,Private Citizens & Property,,,Western Europe,Armed Assault,,,Firearms,,,
200901110002,2009-01-11,"France","Saint-Denis","Unknown",0,,,,,0,0,Religious Figures/Institutions,Business,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
200901050014,2009-01-05,"France","Toulouse","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
200805170002,2008-05-17,"France","Corsa du Sud district","Unknown",0,,,,,0,0,Private Citizens & Property,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
200804200018,2008-04-20,"France","Toulouse","LW",0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
