When did it happen,Year,City or County,State,State Abbrv,Address,Total Fatalities,Total Injured,Comment,Venue,Related to School?
1-Aug-66,1966,Austin,Texas,TX,"Austin, Texas",17,32,"A 25-year-old engineering student at the University of Texas in Austin killed sixteen people and wounded thirty-two others in and around the Tower of the University of Texas. Prior to commencing the mass shootings at the University, the student and former U.S. Marine, had murdered both his wife and mother in Austin, Texas.",School/College/Uni,Yes
12-Nov-66,1966,Mesa,Arizona,AZ,"Mesa, Arizona",5,1,"An 18-year-old high school student entered the Rose-Mar College of Beauty in Mesa, Arizona, ordering his victims to lay on the ground in a circle. The gunman shot and killed four women and a child and injured another woman and an infant. He considered a few sites, like his school, where he thought of wiping out the teachers. Finally, he settled on the Rose-Mar College of Beauty, where he thought he'd get a nice large group of victims.",School/College/Uni,Yes
11-Nov-71,1971,Spokane,Washington,WA,"Spokane, Washington",2,4,A former MIT student entered St. Aloysius Roman Catholic Church on the Gonzaga University campus. The shooter killed the caretaker and wounded four more people before he was killed by police.,Place of worship,Yes
31-Dec-72,1972,New Orleans,Louisiana,LA,"New Orleans, Louisiana",10,13,"1972, a 23-year-old ex-Navy dental technician went to the central lockup New Orleans Police Department and shot four policeman that day. Seven days later on January 7, 1973, the shooter shot a grocer and entered the Downtown Howard Johnson Hotel where he shot seventeen people before killed him at the top of the hotel roof.",Government facility,No
17-Jan-74,1974,Chicago,Illinois,IL,"Chicago, Illinois",1,3,"A 14-year-old student entered Clara Barton Elementary School in Chicago, Illinois and killed the principal and wounded three others before he was seized by a teacher when both his guns jammed. Apparently, the student was angry at the fact that he had been expelled from the school and transferred to a social adjustment center earlier that week.",School/College/Uni,Yes
30-Dec-74,1974,Olean,New York,NY,"Olean, New York",3,7,"A 17-year-old honor student and member of the school's rifle team, entered Olean High School, looked himself in a room on the school's third floor, where he shot a custodian inside the building and nine people on the streets below. Following the shooting, police had found homemade propane bombs in Barbaro's bedroom, as well as bomb recipes and a journal that detailed his plans of the shooting.",School/College/Uni,Yes
19-Feb-76,1976,Los Angeles,California,CA,"Los Angeles, California",1,7,"A 18-year-old student at a Los Angeles computer school opened fire during a test at his fellow students with a shotgun, killing one student and wounding several others. When trying to escape, he was apprehended by a security guard who exchanged fire with the shooter, leaving him critically wounded. The security guard was injured during the exchange.",School/College/Uni,Yes
12-Jul-76,1976,Fullerton,California,CA,"Fullerton, California",7,2,A 37-year-old custodian at California State University in Fullerton open fired in the library's first-floor lobby and at the building's Instructional Media Center killing seven people and wounding two others.,School/College/Uni,Yes
29-Jan-79,1979,San Diego,California,CA,"San Diego, California",2,9,A 16-year-old opened fire at children waiting to enter Grover Cleveland Elementary School. The shooter put herself by a window in her home and began shooting across the street while the children were waiting outside for the principal to open the gate. The principal and a custodian were killed and eight children and a police officer were injured.,School/College/Uni,Yes
6-Oct-79,1979,Columbia,South Carolina,SC,"Columbia, South Carolina",2,5,"A 19-year-old student at University of South Carolina opened fire at a homecoming weekend fraternity party, killing two students and wounding five others.",School/College/Uni,Yes
19-Mar-82,1982,Las Vegas,Nevada,NV,"Las Vegas, Nevada",1,2,"A 17-year-old student walked into Valley High School in Las Vegas, Nevada. The shooter shot and killed a teacher and injured two students.",School/College/Uni,Yes
20-Aug-82,1982,Miami,Florida,FL,"Miami, Florida",9,3,"A 51-year-old teacher on psychiatric leave opened fire inside a welding shop in Miami, Florida killing eight employees and wounding another three. The shooter was later shot and run down by two witnesses while he was cycling away from the crime scene.",Retail/Wholesale/Services facility,No
18-Feb-83,1983,Seattle,Washington,WA,"Seattle, Washington",13,1,"Three man between the ages of 22 and 24 entered the Wah Mee gambling club in Seattle, Washington, shooting fourteen people. Thirteen victims lost their lives, but one survived to testify.",Entertainment venue,No
19-Aug-83,1983,Johnston,South Carolina,SC,"Johnston, South Carolina",1,3,A 55-year-old former postal worker went into the Johnston Post Office in South Carolina three months after he had resigned. He killed the local postmaster and wounded three others. It was the last day at work for the postmaster.,Government facility,No
24-Feb-84,1984,Los Angeles,California,CA,"Los Angeles, California",3,12,Year-old man began shooting at children and staff leaving 49th Street Elementary School in South Central Los Angeles in California. The gunman positioned himself in a room on the second story of his home and killed two people and wounded twelve others.,School/College/Uni,Yes
29-Jun-84,1984,Dallas,Texas,TX,"Dallas, Texas",6,1,"Mass shooting in Dallas (TX), 1984. Abdelkrim Belachheb, 39, opened fire at an upscale nightclub after a woman rejected his advances. He was later arrested. 6 people died.",N/A,No
18-Jul-84,1984,San Ysidro,California,CA,"San Ysidro, California",22,19,"Mass shooting in San Ysidro (CA), 1984. James Oliver Huberty, 41, opened fire in a McDonald's restaurant before he was shot dead by a police officer. 22 people died.",N/A,No
21-Jan-85,1985,Goddard,Kansas,KS,"Goddard, Kansas",1,3,"A 14-year-old student entered Goddard Junior High School in Goddard, Kansas. The student killed the principal and injured two teachers and another student. He was arrested 90 minutes later by a policeman in a field just south of Goddard.",School/College/Uni,Yes
6-Mar-85,1985,Atlanta,Georgia,GA,"Atlanta, Georgia",2,1,"A 30-year-old employee at the Atlanta Post Office, opened fire in the mail sorting area killing two of his coworkers and wounding a third one before he was subdue by other postal workers.",Government facility,No
12-Aug-86,1986,Brooklyn,New York,NY,"Brooklyn, New York",1,4,A 29-year civil technology student at New York Technical College in Brooklyn went to the school thinking his supervisor was the reason he had not received his financial aid. He killed the supervisor and wounded four other people. He was later arrested by the police.,School/College/Uni,Yes
20-Aug-86,1986,Edmond,Oklahoma,OK,"Edmond, Oklahoma",15,6,"Mass shooting in Edmond (OK), 1986. Postal worker Patrick Sherrill, 44, opened fire at a post office before committing suicide. 15 people died.",Workplace,No
4-Dec-86,1986,Lewistown,Montana,MT,"Lewistown, Montana",1,3,"A 14-year-old student at Fergus County High School in Lewistown, Montana, disgruntled with his grades, fatally shot a teacher and wounded a vice principal and two students as he fled. He was arrested at his home an hour later.",School/College/Uni,Yes
23-Apr-87,1987,Palm Bay,Florida,FL,"Palm Bay, Florida",6,14,"Spree killing in Palm Bay (FL), 1987. Retired librarian William Cruse, 59, was paranoid neighbors gossiped that he was gay. He drove to a Publix supermarket, killing two Florida Tech students en route before opening fire outside and killing a woman. He then drove to a Winn-Dixie supermarket and killed three more, including two police officers. Cruse was arrested after taking a hostage and died on death row in 2009. 6 people died.",N/A,No
11-Feb-88,1988,Pinellas Park,Florida,FL,"Pinellas Park, Florida",1,2,"Two students age 15 and 16 were confronted by school personnel regarding firearms they had stolen and carried on campus. The shooting began after the staff attempted to physically restrain the students, and ended with an assistant principal killed and two others injured.",School/College/Uni,Yes
