Country,Year,Deaths Per Capita
AUS,1979,9.305238977046336
AUS,1980,2.0917549891184652
AUS,1981,8.09716033022013
AUS,1982,6.038221187605743
AUS,1983,7.734906875716238
AUS,1984,8.088897065324227
AUS,1985,7.201254830370698
AUS,1986,2.484121167032077
AUS,1987,0.17945156011891394
AUS,1988,1.3408616475938395
AUS,1989,1.9386694544184113
AUS,1990,8.699863976433194
AUS,1991,4.206273688071911
AUS,1992,1.3033770821632518
AUS,1993,4.39019258491024
AUS,1994,2.6935047372317045
AUS,1995,7.69280424180546
AUS,1996,2.5871802214302986
AUS,1997,2.3979916966196555
AUS,1998,5.0193928907858005
AUS,1999,6.425727532620815
AUS,2000,6.563397003099494
AUS,2001,7.669458553791547
AUS,2002,5.0397288954271025
AUS,2003,3.5159961731064904
AUS,2004,0.22947970100434145
AUS,2005,3.3981038903507232
AUS,2006,1.5820194309386482
AUS,2007,1.1651910543878918
AUS,2008,4.802856550587285
AUS,2009,1.0106000942178772
AUS,2010,7.422295331100304
AUS,2011,4.218672707555684
AUS,2012,6.670290859091132
AUS,2013,3.0153278860795263
AUS,2014,7.340406192239277
AUS,2015,3.3877356976147244
AUS,2016,6.557227715334882
AUS,2017,8.971519840320049
FR,1979,3.8738145606854535
FR,1980,3.181879542659959
FR,1981,3.114601755650316
FR,1982,2.151805075117603
FR,1983,3.7167272898948567
FR,1984,9.717214038183805
FR,1985,3.315684132869351
FR,1986,4.1922771319085825
FR,1987,6.420534969627097
FR,1988,4.930469370254409
FR,1989,9.464435711863983
FR,1990,0.5733973942921
FR,1991,3.3634017985641695
FR,1992,6.512939061350104
FR,1993,7.080686102271528
FR,1994,6.965620205615057
FR,1995,0.7845008367863426
FR,1996,1.299823835631868
FR,1997,0.6190428764577405
FR,1998,1.628722780122066
FR,1999,2.7499432252220144
FR,2000,0.5601058437766337
FR,2001,6.066681630877032
FR,2002,9.998696753049694
FR,2003,4.474449091708329
FR,2004,7.488756699064502
FR,2005,1.2686748012395188
FR,2006,4.6353525623883645
FR,2007,8.592879418537255
FR,2008,1.390291004512959
FR,2009,9.812617265395666
FR,2010,9.749298687729599
FR,2011,0.03614833550466323
FR,2012,5.267354773783741
FR,2013,4.588972274633678
FR,2014,1.288854064607191
FR,2015,3.2656947990737075
FR,2016,1.102251344463856
FR,2017,9.121229690641542
USA,1979,9.710023217441243
USA,1980,9.836113399031687
USA,1981,4.3822995739897905
USA,1982,1.7116612974832457
USA,1983,2.35696313662726
USA,1984,0.5376627494847541
USA,1985,4.745270370004456
USA,1986,5.865750584779126
USA,1987,6.524010630990791
USA,1988,5.407987898281026
USA,1989,4.843379311766396
USA,1990,7.968654548017589
USA,1991,1.101472756550902
USA,1992,6.2263410805878285
USA,1993,9.383357755648966
USA,1994,3.326499083518577
USA,1995,3.3133932392390895
USA,1996,8.73872051632392
USA,1997,9.627681662836952
USA,1998,3.6469544048015967
USA,1999,4.205604081836965
USA,2000,8.133603085682013
USA,2001,5.290800721279819
USA,2002,5.992223544640153
USA,2003,6.411774118246287
USA,2004,8.944545257473447
USA,2005,8.309367404966864
USA,2006,1.1814084358761612
USA,2007,3.793591731645801
USA,2008,4.845449624980333
USA,2009,2.6026502393635296
USA,2010,2.8517549171277423
USA,2011,3.2933129534143646
USA,2012,3.994795570993299
USA,2013,0.6700852186352291
USA,2014,1.5158011981133723
USA,2015,5.710923239582199
USA,2016,4.230759953722233
USA,2017,0.44348863407323136
