GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4,LATITUDE,LONGITUDE
201612160023,2016-12-16,France,Chateau-Thierry,Unknown,0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,49.0459869,3.40262
201611050021,2016-11-05,France,Nantes,Unknown,0,,,,,0,0,Government (Diplomatic),,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,47.218371,-1.553621
201610250048,2016-10-25,France,Calais,No Borders Group,0,,,,,0,Unknown,Other,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,50.95129000000001,1.858686
201609040042,2016-09-04,France,Paris,Jihadi-inspired extremists,0,,,,,0,0,Unknown,,,Western Europe,Armed Assault,,,Incendiary,,,,48.856614,2.3522219
201607270034,2016-07-27,France,Muret,Unknown,0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,43.46157400000001,1.33071
201607260001,2016-07-26,France,Saint-Etienne-du-Rouvray,Jihadi-inspired extremists,0,,,,,3,1,Religious Figures/Institutions,,,Western Europe,Hostage Taking (Barricade Incident),,,Firearms,Melee,Fake Weapons,,49.380305,1.108209
201607190060,2016-07-19,France,Maureilhan,Comite d'Action Viticole,0,,,,,0,0,Business,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,Melee,Melee,,43.358381,3.119836
201607140001,2016-07-14,France,Nice,Jihadi-inspired extremists,0,,,,,87,433,Private Citizens & Property,Private Citizens & Property,,Western Europe,Armed Assault,,,Firearms,Vehicle,Fake Weapons,,43.7101728,7.261953200000001
201607040047,2016-07-04,France,Ouveillan,Comite d'Action Viticole,0,,,,,0,0,Business,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,43.292732,2.968821
201606210047,2016-06-21,France,Paris,Unknown,0,,,,,0,0,Government (Diplomatic),,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,48.856614,2.3522219
201605010013,2016-04-30,France,Ajaccio,Unknown,0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,41.919229,8.738635
201602030088,2016-02-03,France,Propriano,Unknown,0,,,,,0,0,Business,,,Western Europe,Facility/Infrastructure Attack,,,Firearms,,,,41.6738915,8.901759199999999
201602030060,2016-02-03,France,Propriano,Unknown,0,,,,,0,0,Business,,,Western Europe,Facility/Infrastructure Attack,,,Firearms,,,,41.6738915,8.901759199999999
201601100040,2016-01-10,France,Veneux-les-Sablons,Unknown,0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,48.377846,2.7951609
201601100039,2016-01-10,France,Fontainebleau,Unknown,0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,25.816968,-80.12235559999999
201512030059,2015-12-03,France,Ghisonaccia,Unknown,0,,,,,0,0,Business,,,Western Europe,Armed Assault,,,Firearms,,,,42.016837,9.403981000000002
201511260056,2015-11-26,France,Elne,White extremists,0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,Incendiary,,,42.600336,2.970433
201511130008,2015-11-13,France,Paris,Islamic State of Iraq and the Levant (ISIL),0,,,,,93,217,Business,Private Citizens & Property,,Western Europe,Hostage Taking (Barricade Incident),Bombing/Explosion,,Explosives/Bombs/Dynamite,Explosives/Bombs/Dynamite,Firearms,,48.856614,2.3522219
201511130006,2015-11-13,France,Paris,Islamic State of Iraq and the Levant (ISIL),0,,,,,19,26,Business,Private Citizens & Property,,Western Europe,Armed Assault,,,Firearms,,,,48.856614,2.3522219
201511130005,2015-11-13,France,Paris,Islamic State of Iraq and the Levant (ISIL),0,,,,,5,24,Business,,,Western Europe,Armed Assault,,,Firearms,,,,48.856614,2.3522219
201511130003,2015-11-13,France,Paris,Islamic State of Iraq and the Levant (ISIL),0,,,,,15,26,Business,Private Citizens & Property,,Western Europe,Armed Assault,,,Firearms,,,,48.856614,2.3522219
201508250065,2015-08-23,France,Auch,Unknown,0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,,43.64638,0.5867089999999999
201508210035,2015-08-21,France,Arras,Islamic State of Iraq and the Levant (ISIL),0,,,,,0,3,Transportation,,,Western Europe,Armed Assault,,,Firearms,Melee,,,50.291002,2.777535
