Country,Year,Deaths Per Capita
AUS,1979,5.643382459661673
AUS,1980,1.0447751314855447
AUS,1981,9.948673840983984
AUS,1982,5.6437664032087165
AUS,1983,2.5921650537298
AUS,1984,8.517794830724267
AUS,1985,6.012084963970663
AUS,1986,6.684770430229064
AUS,1987,9.094517434768584
AUS,1988,7.601256945328098
AUS,1989,6.953184308175864
AUS,1990,7.063055505418538
AUS,1991,0.7646368666136993
AUS,1992,6.823882729554013
AUS,1993,1.357331795498944
AUS,1994,4.65676612521624
AUS,1995,5.443056882491665
AUS,1996,3.8543192856024424
AUS,1997,5.9563565656920225
AUS,1998,6.440829344573629
AUS,1999,4.23078403245167
AUS,2000,0.10253911788627001
AUS,2001,4.284516406513912
AUS,2002,4.502676208395483
AUS,2003,9.376478520639788
AUS,2004,4.8033233850903665
AUS,2005,3.257204859823463
AUS,2006,7.476749480021303
AUS,2007,6.083102252121998
AUS,2008,2.532246748024983
AUS,2009,8.335356039357917
AUS,2010,8.694130594338063
AUS,2011,0.9766779718489538
AUS,2012,3.8356135542943504
AUS,2013,8.153420529865842
AUS,2014,8.040807436307082
AUS,2015,3.061796637431841
AUS,2016,4.041840084428756
AUS,2017,4.195950872704557
FR,1979,5.990109163791098
FR,1980,4.287409008444987
FR,1981,3.3442434780582153
FR,1982,1.8207783252538967
FR,1983,2.8077194003924544
FR,1984,8.966549676943746
FR,1985,6.047642816293709
FR,1986,9.018722761289123
FR,1987,3.7150960471269134
FR,1988,1.7009446821686491
FR,1989,0.9459497345953283
FR,1990,6.67272642118496
FR,1991,6.191235359876757
FR,1992,9.3705682520401
FR,1993,2.709199074137685
FR,1994,5.62953785271509
FR,1995,2.8598162168323995
FR,1996,3.86901905379366
FR,1997,1.459634677176842
FR,1998,3.991647050667658
FR,1999,8.52568269355675
FR,2000,7.068249927889299
FR,2001,4.960475757144824
FR,2002,9.979370467989558
FR,2003,4.100020571419902
FR,2004,8.073216691146348
FR,2005,8.627401403635545
FR,2006,7.953564534234001
FR,2007,5.835306019311636
FR,2008,8.777421122885741
FR,2009,3.5060727046052964
FR,2010,9.435008349765123
FR,2011,0.08209081821934139
FR,2012,1.3295306652312078
FR,2013,8.043296287639924
FR,2014,7.550411217654801
FR,2015,1.6708904513166678
FR,2016,5.918522727255551
FR,2017,1.5548022544305962
USA,1979,3.728249873954834
USA,1980,7.349988972932967
USA,1981,7.385845285129921
USA,1982,3.1759683255425952
USA,1983,4.766787007351975
USA,1984,7.8891858352528
USA,1985,3.477037531992926
USA,1986,4.306561965866881
USA,1987,4.737163349628229
USA,1988,3.9342571492285447
USA,1989,0.38811531294224877
USA,1990,1.094689813562717
USA,1991,2.3673625459995273
USA,1992,5.57981903922629
USA,1993,4.144898791903157
USA,1994,8.671516215724713
USA,1995,6.972410837666493
USA,1996,6.202650098580891
USA,1997,8.26761516829587
USA,1998,4.133058139462459
USA,1999,7.6280602931852295
USA,2000,0.32937184049005364
USA,2001,2.274706880045941
USA,2002,8.299334070806806
USA,2003,0.8694037662609655
USA,2004,8.976652838857614
USA,2005,0.12188455878456406
USA,2006,7.610504002913645
USA,2007,4.842326348518075
USA,2008,5.1296972495678475
USA,2009,0.706975746504348
USA,2010,6.349041614422713
USA,2011,7.054087025053129
USA,2012,6.896673203439213
USA,2013,7.758801567910147
USA,2014,2.0845075812630354
USA,2015,8.928709704566351
USA,2016,4.019444146091558
USA,2017,4.9968110323909
